t_prop_us,noise_pct,init_factor,warm_start,path_change_ack,path_factor,converged_ack,converged_rtt,detection_ack,detection_delta_ack,final_x_est_us,final_min_rtt_us,true_min_rtt_us,final_err_pct,acks_total,final_confirm_cnt,final_confirm_slow_cnt,trial
5000,0.0,1.0,False,,1.0,4,249,-1,-1,5000,5000,5000,0.0,5000,0,0,0
5000,0.0,1.0,False,,1.0,4,249,-1,-1,5000,5000,5000,0.0,5000,0,0,1
5000,0.0,1.0,False,,1.0,4,249,-1,-1,5000,5000,5000,0.0,5000,0,0,2
5000,0.0,1.0,False,,1.0,4,249,-1,-1,5000,5000,5000,0.0,5000,0,0,3
5000,0.0,1.0,False,,1.0,4,249,-1,-1,5000,5000,5000,0.0,5000,0,0,4
5000,0.0,5.0,True,,1.0,0,249,-1,-1,5000,5000,5000,0.0,5000,0,0,0
5000,0.0,5.0,True,,1.0,0,249,-1,-1,5000,5000,5000,0.0,5000,0,0,1
5000,0.0,5.0,True,,1.0,0,249,-1,-1,5000,5000,5000,0.0,5000,0,0,2
5000,0.0,5.0,True,,1.0,0,249,-1,-1,5000,5000,5000,0.0,5000,0,0,3
5000,0.0,5.0,True,,1.0,0,249,-1,-1,5000,5000,5000,0.0,5000,0,0,4
5000,0.0,10.0,True,,1.0,0,249,-1,-1,5000,5000,5000,0.0,5000,0,0,0
5000,0.0,10.0,True,,1.0,0,249,-1,-1,5000,5000,5000,0.0,5000,0,0,1
5000,0.0,10.0,True,,1.0,0,249,-1,-1,5000,5000,5000,0.0,5000,0,0,2
5000,0.0,10.0,True,,1.0,0,249,-1,-1,5000,5000,5000,0.0,5000,0,0,3
5000,0.0,10.0,True,,1.0,0,249,-1,-1,5000,5000,5000,0.0,5000,0,0,4
5000,0.5,1.0,False,,1.0,4,249,-1,-1,4989,4889,5000,0.22,5000,0,0,0
5000,0.5,1.0,False,,1.0,4,249,-1,-1,4976,4899,5000,0.48,5000,0,0,1
5000,0.5,1.0,False,,1.0,4,249,-1,-1,4994,4908,5000,0.12,5000,0,0,2
5000,0.5,1.0,False,,1.0,4,249,-1,-1,5037,4913,5000,0.74,5000,0,0,3
5000,0.5,1.0,False,,1.0,4,249,-1,-1,5022,4892,5000,0.44,5000,0,0,4
5000,0.5,5.0,True,,1.0,0,249,-1,-1,4990,4898,5000,0.2,5000,0,0,0
5000,0.5,5.0,True,,1.0,0,249,-1,-1,4964,4898,5000,0.72,5000,0,0,1
5000,0.5,5.0,True,,1.0,0,249,-1,-1,4982,4911,5000,0.36,5000,0,0,2
5000,0.5,5.0,True,,1.0,0,249,-1,-1,4976,4913,5000,0.48,5000,0,0,3
5000,0.5,5.0,True,,1.0,0,249,-1,-1,4969,4901,5000,0.62,5000,0,0,4
5000,0.5,10.0,True,,1.0,0,249,-1,-1,5020,4914,5000,0.4,5000,0,0,0
5000,0.5,10.0,True,,1.0,0,249,-1,-1,5016,4911,5000,0.32,5000,0,0,1
5000,0.5,10.0,True,,1.0,0,249,-1,-1,5033,4905,5000,0.66,5000,0,0,2
5000,0.5,10.0,True,,1.0,0,249,-1,-1,4983,4913,5000,0.33999999999999997,5000,0,0,3
5000,0.5,10.0,True,,1.0,0,249,-1,-1,5029,4899,5000,0.58,5000,0,0,4
5000,1.0,1.0,False,,1.0,4,249,-1,-1,5051,4866,5000,1.02,5000,0,0,0
5000,1.0,1.0,False,,1.0,4,249,-1,-1,5003,4877,5000,0.06,5000,0,0,1
5000,1.0,1.0,False,,1.0,4,249,-1,-1,5097,4856,5000,1.94,5000,0,0,2
5000,1.0,1.0,False,,1.0,4,249,-1,-1,4997,4848,5000,0.06,5000,0,2,3
5000,1.0,1.0,False,,1.0,4,249,-1,-1,5058,4881,5000,1.16,5000,0,0,4
5000,1.0,5.0,True,,1.0,1,249,-1,-1,5013,4859,5000,0.26,5000,0,4,0
5000,1.0,5.0,True,,1.0,0,249,-1,-1,4979,4878,5000,0.42,5000,0,0,1
5000,1.0,5.0,True,,1.0,0,249,-1,-1,4994,4872,5000,0.12,5000,0,1,2
5000,1.0,5.0,True,,1.0,0,249,-1,-1,4911,4857,5000,1.78,5000,0,0,3
5000,1.0,5.0,True,,1.0,0,249,-1,-1,5069,4870,5000,1.38,5000,0,0,4
5000,1.0,10.0,True,,1.0,0,249,-1,-1,5027,4936,5000,0.54,5000,0,0,0
5000,1.0,10.0,True,,1.0,0,249,-1,-1,4964,4842,5000,0.72,5000,0,4,1
5000,1.0,10.0,True,,1.0,0,249,-1,-1,5017,4849,5000,0.33999999999999997,5000,0,3,2
5000,1.0,10.0,True,,1.0,0,249,-1,-1,5021,4883,5000,0.42,5000,0,0,3
5000,1.0,10.0,True,,1.0,0,249,-1,-1,4929,4889,5000,1.4200000000000002,5000,0,0,4
5000,2.0,1.0,False,,1.0,4,249,-1,-1,5121,4927,5000,2.42,5000,0,1,0
5000,2.0,1.0,False,,1.0,7,249,-1,-1,5132,4849,5000,2.64,5000,0,2,1
5000,2.0,1.0,False,,1.0,4,249,-1,-1,4890,4875,5000,2.1999999999999997,5000,0,2,2
5000,2.0,1.0,False,,1.0,4,249,-1,-1,4800,4759,5000,4.0,5000,0,3,3
5000,2.0,1.0,False,,1.0,4,249,-1,-1,4887,4831,5000,2.26,5000,0,1,4
